timestamp, current1, current2, current3, current4, accelx, accely, accelz, degrees x, degrees y, degrees z, baro temp, baro pressure
140292373, 0.112998, 0.0452197, 0.193491, 0.703213, -0.107641, 7.94096, -6.67374, -0.427246, -0.289917, -0.228882, 0, 0
140292383, 0.115151, 0.0452197, 0.189287, 0.703213, -0.161461, 8.02659, -6.24562, 0.350952, 0.0457764, 0.198364, 0, 0
140292393, 0.115151, 0.048501, 0.189287, 0.702393, -0.220175, 8.15135, -5.99364, -0.228882, 0.335693, 0.106812, 0, 0
140292403, 0.113921, 0.0502441, 0.191748, 0.703213, -0.112534, 7.99234, -6.46824, -0.701904, -0.167847, -0.213623, 0, 0
140292413, 0.112998, 0.0502441, 0.190518, 0.704443, -0.117426, 7.92628, -6.4242, 0.778198, -0.0610352, 0.12207, 0, 0
140292423, 0.113921, 0.0480908, 0.190928, 0.702393, -0.217728, 8.05105, -6.16, 0.137329, 0.244141, 0.106812, 0, 0
140292433, 0.114741, 0.0480908, 0.194312, 0.702393, -0.129658, 8.09509, -6.34347, -1.297, -0.0915527, -0.320435, 0, 0
140292453, 0.113511, 0.0480908, 0.190518, 0.703623, -0.237299, 7.99234, -6.07193, 0.62561, 0.198364, 0.228882, 0, 0
140292463, 0.114741, 0.0476807, 0.191748, 0.701162, -0.173693, 7.96298, -6.38996, -0.534058, -0.0457764, -0.137329, 0, 0
140292473, 0.113921, 0.0472705, 0.191748, 0.703213, -0.0880698, 7.96787, -6.61258, -0.259399, -0.213623, -0.0915527, 0, 0
140292483, 0.111357, 0.0472705, 0.191748, 0.703213, -0.188372, 8.09509, -6.02544, 0.289917, 0.106812, 0.228882, 0, 0
140292493, 0.111357, 0.0464502, 0.191748, 0.703213, -0.168801, 8.12933, -6.11107, -0.610352, 0.183105, -0.12207, 0, 0
140292503, 0.110127, 0.048501, 0.192671, 0.701162, -0.0562668, 7.91161, -6.57099, -0.213623, -0.274658, -0.0915527, 0, 0
140292513, 0.113511, 0.0464502, 0.190928, 0.701982, -0.144337, 7.92873, -6.30189, -0.640869, 0.0152588, 0.198364, 0, 0
140292523, 0.112998, 0.0472705, 0.191748, 0.702393, -0.212835, 8.12689, -6.18691, -0.640869, 0.152588, -0.12207, 0, 0
140292543, 0.114331, 0.0476807, 0.192671, 0.702803, -0.134551, 7.92628, -6.19424, 0.366211, 0.0915527, 0.198364, 0, 0
140292553, 0.114331, 0.0506543, 0.192671, 0.700752, -0.22996, 7.97032, -6.16, -0.717163, 0.152588, 0.106812, 0, 0
140292563, 0.113511, 0.0472705, 0.188467, 0.702803, -0.134551, 7.94341, -6.55876, 0.0915527, -0.320435, -0.198364, 0, 0
140292573, 0.111357, 0.0494238, 0.192671, 0.701162, -0.119873, 8.01191, -6.44867, 0.106812, -0.0305176, 0.0152588, 0, 0
140292583, 0.114331, 0.0472705, 0.190928, 0.701982, -0.244638, 8.19294, -5.97652, -0.915527, 0.274658, 0.12207, 0, 0
140292593, 0.113511, 0.0472705, 0.189697, 0.701982, -0.149229, 8.10242, -6.27742, 0.289917, -0.0305176, -0.198364, 0, 0
140292603, 0.113511, 0.0480908, 0.189697, 0.703213, -0.0807307, 7.8798, -6.54163, 0.656128, -0.137329, 0.0457764, 0, 0
140292623, 0.113921, 0.0472705, 0.191338, 0.701162, -0.168801, 8.09509, -6.24317, -0.244141, 0.0152588, -0.289917, 0, 0
